,Sensor_0,Sensor_4,Sensor_5,Sensor_7,Sensor_9,Sensor_15,Sensor_16,Sensor_17,Sensor_18
0,489.05,10.52,15.49,2318.87,1.26,0.03,368,2319,100.0
1,518.67,14.62,21.61,2388.01,1.3,0.03,391,2388,100.0
2,449.44,5.48,8.0,2222.86,1.02,0.02,334,2223,100.0
3,491.19,9.35,13.65,2323.85,1.08,0.02,364,2324,100.0
4,445.0,3.91,5.71,2211.8,1.02,0.02,330,2212,100.0
5,491.19,9.35,13.65,2323.94,1.08,0.02,364,2324,100.0
6,445.0,3.91,5.71,2211.82,1.02,0.02,331,2212,100.0
7,518.67,14.62,21.61,2388.1,1.3,0.03,391,2388,100.0
8,518.67,14.62,21.61,2388.1,1.3,0.03,392,2388,100.0
9,445.0,3.91,5.71,2211.84,1.02,0.02,330,2212,100.0
10,462.54,7.05,9.02,1915.28,0.94,0.02,307,1915,84.93
11,449.44,5.48,8.0,2222.88,1.02,0.02,335,2223,100.0
12,445.0,3.91,5.71,2211.78,1.02,0.02,329,2212,100.0
13,462.54,7.05,9.02,1915.24,0.94,0.02,306,1915,84.93
14,489.05,10.52,15.5,2318.9,1.26,0.03,369,2319,100.0
15,489.05,10.52,15.49,2318.87,1.26,0.03,369,2319,100.0
16,518.67,14.62,21.61,2388.06,1.3,0.03,392,2388,100.0
17,489.05,10.52,15.49,2318.93,1.26,0.03,367,2319,100.0
18,462.54,7.05,9.03,1915.22,0.94,0.02,308,1915,84.93
19,518.67,14.62,21.61,2388.09,1.3,0.03,393,2388,100.0
20,445.0,3.91,5.72,2211.82,1.02,0.02,330,2212,100.0
21,518.67,14.62,21.61,2388.12,1.3,0.03,392,2388,100.0
22,491.19,9.35,13.66,2323.91,1.08,0.02,366,2324,100.0
23,449.44,5.48,8.0,2222.88,1.02,0.02,334,2223,100.0
24,445.0,3.91,5.71,2211.89,1.02,0.02,330,2212,100.0
25,518.67,14.62,21.61,2388.05,1.3,0.03,394,2388,100.0
26,462.54,7.05,9.03,1915.28,0.94,0.02,308,1915,84.93
27,518.67,14.62,21.61,2388.07,1.3,0.03,392,2388,100.0
28,462.54,7.05,9.03,1915.25,0.94,0.02,308,1915,84.93
29,445.0,3.91,5.72,2211.83,1.02,0.02,332,2212,100.0
30,491.19,9.35,13.66,2323.91,1.08,0.02,366,2324,100.0
31,462.54,7.05,9.03,1915.24,0.94,0.02,305,1915,84.93
32,445.0,3.91,5.71,2211.85,1.02,0.02,331,2212,100.0
33,518.67,14.62,21.61,2388.08,1.3,0.03,393,2388,100.0
34,462.54,7.05,9.02,1915.26,0.94,0.02,307,1915,84.93
35,489.05,10.52,15.49,2318.94,1.26,0.03,369,2319,100.0
36,518.67,14.62,21.61,2388.08,1.3,0.03,392,2388,100.0
37,489.05,10.52,15.49,2318.96,1.26,0.03,369,2319,100.0
38,449.44,5.48,8.0,2222.88,1.02,0.02,333,2223,100.0
