,acc,recall,precision,f1
0,0.6272609819121447,0.6272609819121447,0.6549211696522848,0.5678576288593885
1,0.6322674418604651,0.6322674418604651,0.6595177067368037,0.5712505126498804
2,0.62619086064912,0.62619086064912,0.598540111704642,0.5629120338406084
3,0.627321169061844,0.627321169061844,0.5471291503333522,0.5648302816381362
4,0.6289958023894091,0.6289958023894091,0.5513127048214103,0.5685468269860248
5,0.6268969970939618,0.6268969970939618,0.5501582563528935,0.5664207788069637
6,0.6272198902163384,0.6272198902163384,0.5480624799723713,0.5642038388265173
7,0.6257668711656442,0.6257668711656442,0.6514840389477877,0.5635262409769184
8,0.6270174306003874,0.6270174306003874,0.6014052211539604,0.5652931724970246
9,0.6294383473208521,0.6294383473208521,0.620657457941918,0.5690193421933414
average,0.6278375792270168,0.6278375792270168,0.5983188297617424,0.5663860657274803
std,0.001818382755101288,0.001818382755101288,0.0446758956994638,0.002570157003376619
