,acc,recall,precision,f1
0,0.6854005167958657,0.6854005167958657,0.6868609715963502,0.6845781528391411
1,0.6937984496124031,0.6937984496124031,0.6931809416078831,0.6912024345197416
2,0.6885192959793315,0.6885192959793315,0.689295128698138,0.6874779087736997
3,0.6936864201517843,0.6936864201517843,0.6934031168138439,0.6919216019544021
4,0.694381659670649,0.694381659670649,0.6949912705693658,0.6927820864537568
5,0.6892153697126251,0.6892153697126251,0.6891635415277386,0.687307216290732
6,0.6924443009363901,0.6924443009363901,0.6925662236497576,0.6909947817200779
7,0.6914756215692606,0.6914756215692606,0.6911856554325959,0.6897516311112136
8,0.6928663653970304,0.6928663653970304,0.6937585239977819,0.6917011237729674
9,0.6889928986442866,0.6889928986442866,0.6893101591325085,0.6875975593997002
average,0.6910780898469626,0.6910780898469626,0.6913715533025965,0.6895314496835432
std,0.002773802839508981,0.002773802839508981,0.002478799350010549,0.002518100265873528
