,acc,recall,precision,f1
0,0.46076394438229185,0.46076394438229185,0.4381963569597653,0.34619815337811427
1,0.4022694582068084,0.4022694582068084,0.36197080826653977,0.3160010146328594
2,0.2643439347930318,0.2643439347930318,0.4257211671647745,0.26755308140264744
3,0.4638862256311921,0.4638862256311921,0.48710519833100224,0.425955087193035
4,0.32912605847579485,0.32912605847579485,0.3863266207268058,0.3266008391059922
5,0.5521648825691005,0.5521648825691005,0.5485895345746757,0.46257220511025465
6,0.5842786387601854,0.5842786387601854,0.5531565907334144,0.5314309235001881
7,0.4180511182108626,0.4180511182108626,0.41588054998734697,0.39613606190165135
8,0.4314696485623003,0.4314696485623003,0.4444901777346571,0.4042883457985642
9,0.41613418530351437,0.41613418530351437,0.3847060752360763,0.3596029599533912
average,0.43224880948950817,0.43224880948950817,0.4446143079715058,0.3836338671976698
std,0.08915937721733726,0.08915937721733726,0.06279962950219727,0.07330065764165454
