,acc,recall,precision,f1
0,0.42320600926961804,0.42320600926961804,0.4777817986756406,0.42286692045004315
1,0.46076394438229185,0.46076394438229185,0.506464068093115,0.4718290557907826
2,0.47195141441585425,0.47195141441585425,0.498733204801191,0.455987967608959
3,0.379514221796101,0.379514221796101,0.4259389179354141,0.3209933126860281
4,0.3781754273845662,0.3781754273845662,0.400328453834769,0.23663225230146118
5,0.41875698993449434,0.41875698993449434,0.46886424956716816,0.3297225214418252
6,0.41492251158332,0.41492251158332,0.46922386440017,0.32006901852032715
7,0.4277955271565495,0.4277955271565495,0.5296130424327099,0.3517915160507205
8,0.3832268370607029,0.3832268370607029,0.1743963214558525,0.23736128834610515
9,0.41373801916932906,0.41373801916932906,0.48713583477001515,0.317416832282509
average,0.41720509021528274,0.41720509021528274,0.44384797559660444,0.34646706854787607
std,0.03026677905528759,0.03026677905528759,0.09664511366342786,0.07746842310881864
