,acc,recall,precision,f1
0,0.44717915934153746,0.44717915934153746,0.4969308139443789,0.38677282622689363
1,0.5384369506153108,0.5384369506153108,0.4321493444156457,0.47826662151192073
2,0.544030685632092,0.544030685632092,0.4973857606601972,0.512967478315261
3,0.4531799296899968,0.4531799296899968,0.45682522558898464,0.4092649747819158
4,0.5502476433935133,0.5502476433935133,0.48385352805486503,0.4569043671215691
5,0.39287426106406775,0.39287426106406775,0.4720545285786381,0.3692113234960732
6,0.5051925227672152,0.5051925227672152,0.4969746573218263,0.47975554934507836
7,0.5244408945686901,0.5244408945686901,0.49776904712020753,0.49895611373003673
8,0.6052715654952077,0.6052715654952077,0.5462648063803721,0.524559132944717
9,0.47460063897763577,0.47460063897763577,0.536266816818565,0.4683223742125534
average,0.5035454251545267,0.5035454251545267,0.4916474528883681,0.4584980761686019
std,0.05884289210907809,0.05884289210907809,0.0320903075965194,0.0504480901932809
