,acc,recall,precision,f1
0,0.9836726853630426,0.9836726853630426,0.9837718820834469,0.9836717744089405
1,0.9829043411448329,0.9829043411448329,0.9830584760493537,0.9828975874264312
2,0.9842504561605685,0.9842504561605685,0.9844580602208151,0.9842460110734338
3,0.985883030826851,0.985883030826851,0.9859699262685554,0.9858809438099874
4,0.9844440176685232,0.9844440176685232,0.9845475782138183,0.9844450967427137
5,0.9854042634914538,0.9854042634914538,0.9854716794489258,0.9854049428278161
6,0.9852122143268677,0.9852122143268677,0.985292836489358,0.9852042785322337
7,0.9839654344695151,0.9839654344695151,0.9840526698417195,0.9839670725365952
8,0.98607910906298,0.98607910906298,0.9861443550679884,0.9860794668375833
9,0.9857910906298003,0.9857910906298003,0.9858684787477638,0.985784323882032
average,0.9847606643144434,0.9847606643144434,0.9848635942431745,0.9847581498077765
std,0.0010149138250367881,0.0010149138250367881,0.000989966551153294,0.001015132788392847
