,acc,recall,precision,f1
0,0.606364076885802,0.606364076885802,0.5869245778088739,0.5683653650223363
1,0.6065891472868217,0.6065891472868217,0.5826407457605536,0.5710265829351111
2,0.6078811369509044,0.6078811369509044,0.5949161913728691,0.5741138789336665
3,0.6080426356589147,0.6080426356589147,0.5834381135796624,0.5709126421730392
4,0.601905684754522,0.601905684754522,0.584080656205958,0.5626826968547074
5,0.6066526723720329,0.6066526723720329,0.5919275114835425,0.5719328523288183
6,0.6043920555465848,0.6043920555465848,0.579839551406522,0.5678989341704834
7,0.6088149822408783,0.6088149822408783,0.588700278384144,0.5709515702424671
8,0.603228410008071,0.603228410008071,0.5806939943351761,0.5664944083713076
9,0.6092009685230024,0.6092009685230024,0.5846502536637265,0.5761996338223112
average,0.6063071770227534,0.6063071770227534,0.5857811874001028,0.5700578564854248
std,0.002299435266305758,0.002299435266305758,0.004601736506569474,0.0036711413090484866
