,acc,recall,precision,f1
0,0.5515230071289695,0.5515230071289695,0.46981822746553115,0.5046237563219866
1,0.5811730395333765,0.5811730395333765,0.4748351782064273,0.49981796826219727
2,0.611210108537178,0.611210108537178,0.46938768126640756,0.5156929993820725
3,0.5699011825692532,0.5699011825692532,0.4810876215275493,0.5177704678341684
4,0.6097521464441924,0.6097521464441924,0.45150517221213216,0.5129714277947317
5,0.5502996922080026,0.5502996922080026,0.4533883882809352,0.47658783158654294
6,0.5951725255143366,0.5951725255143366,0.5350480819330765,0.5624107126133336
7,0.5447918354122793,0.5447918354122793,0.4552623575983863,0.4783463974597752
8,0.48995788791707157,0.48995788791707157,0.4194155475691465,0.4326757178243857
9,0.5794331983805668,0.5794331983805668,0.4159238588160289,0.48406765450033534
average,0.5683214623645227,0.5683214623645227,0.4625672114875622,0.4984964933579529
std,0.034452157868003985,0.034452157868003985,0.031849223009080746,0.032291838623425294
