,acc,recall,precision,f1
0,0.6162697778488093,0.6162697778488093,0.46362119329778867,0.5148806781782554
1,0.6153108518459326,0.6153108518459326,0.4626744684847458,0.5139839960625483
2,0.6161099568483299,0.6161099568483299,0.46358181368832146,0.51468527727149
3,0.6155321188878236,0.6155321188878236,0.4627296944535353,0.5141794341846054
4,0.6170314746764659,0.6170314746764659,0.46371964284636713,0.5155389699134124
5,0.6165521648825691,0.6165521648825691,0.46374868573256667,0.5151145588748455
6,0.6171912446077649,0.6171912446077649,0.4642878717797936,0.515718906310215
7,0.6166134185303515,0.6166134185303515,0.4638088589311189,0.5151630374450028
8,0.6169329073482428,0.6169329073482428,0.4638490405425761,0.5154213017603654
9,0.615335463258786,0.615335463258786,0.4629501090897841,0.5140101901936488
average,0.6162879378735077,0.6162879378735077,0.4634971378846598,0.5148696350194389
std,0.0006652611212943032,0.0006652611212943032,0.0005046389762339977,0.0006044144679336662
