,acc,recall,precision,f1
0,0.6301742048905226,0.6301742048905226,0.6012779045514373,0.5499784747999505
1,0.632731340898194,0.632731340898194,0.6182599288447039,0.5578504024933755
2,0.6292152788876458,0.6292152788876458,0.6086590066725605,0.5484218140475531
3,0.6286353467561522,0.6286353467561522,0.6138929630714196,0.5461860758364544
4,0.630292378974277,0.630292378974277,0.5768142829832034,0.5488419727289493
5,0.6314107684933695,0.6314107684933695,0.5631870574849756,0.5500450694980252
6,0.6274165202108963,0.6274165202108963,0.6065459911237521,0.5438680840933106
7,0.6329073482428115,0.6329073482428115,0.6422224768728244,0.5556173121375572
8,0.6284345047923323,0.6284345047923323,0.6304604987335908,0.5468631763300599
9,0.6285942492012779,0.6285942492012779,0.6101780512419942,0.5510471900385905
average,0.629981194134748,0.629981194134748,0.6071498161580462,0.5498719572003827
std,0.0017774927545837456,0.0017774927545837456,0.02200373746304608,0.003999199144247501
