,acc,recall,precision,f1
0,0.6387273901808785,0.6387273901808785,0.6340411045445895,0.5827640313849175
1,0.6392118863049095,0.6392118863049095,0.6114628435781722,0.5830597878490468
2,0.640400452123365,0.640400452123365,0.6225429553605906,0.5834299093554932
3,0.63378007427741,0.63378007427741,0.6225861907646216,0.5752097287390967
4,0.6394898288666452,0.6394898288666452,0.6246118538401115,0.5818051683156178
5,0.636099451081692,0.636099451081692,0.6669926545436965,0.5782573930773507
6,0.6369066838876332,0.6369066838876332,0.612477053165487,0.577818604309524
7,0.6378753632547627,0.6378753632547627,0.6418818789719818,0.5801236411612485
8,0.6375080697224016,0.6375080697224016,0.631953500064365,0.5808013314787928
9,0.6418657198192382,0.6418657198192382,0.6382518855695097,0.5863123532532476
average,0.6381864919518936,0.6381864919518936,0.6306801920403126,0.5809581948924336
std,0.0021782619611117513,0.0021782619611117513,0.015438695751314737,0.003067389690950745
