,acc,recall,precision,f1
0,0.6348514211886305,0.6348514211886305,0.6265995950483385,0.6157123362994145
1,0.6434108527131783,0.6434108527131783,0.6358757445225314,0.6243648798761235
2,0.6402389794929759,0.6402389794929759,0.6288121028656195,0.6205651979013462
3,0.6334571290166316,0.6334571290166316,0.6195541651906289,0.6117089528385502
4,0.6323861801743623,0.6323861801743623,0.6210621036582464,0.6118312675270559
5,0.6378753632547627,0.6378753632547627,0.6294288789798707,0.6163061671400555
6,0.6301259283177268,0.6301259283177268,0.614844763184724,0.6073702998799688
7,0.635453664836939,0.635453664836939,0.6229350394863536,0.6131797792170504
8,0.632182052937379,0.632182052937379,0.6191255754042103,0.6093668352908326
9,0.6400903808908973,0.6400903808908973,0.6321413981112756,0.6224112025993271
average,0.6360071952823485,0.6360071952823485,0.6250379366451798,0.6152816918569726
std,0.004041811603666813,0.004041811603666813,0.0062692798709734435,0.0053772506775014335
