,acc,recall,precision,f1
0,0.5844638242894057,0.5844638242894057,0.5955959080210882,0.5878286922556003
1,0.5833333333333334,0.5833333333333334,0.5954255436932002,0.5870089270568115
2,0.5880833198772808,0.5880833198772808,0.600725243869191,0.5919305955535603
3,0.5813014694009365,0.5813014694009365,0.593576362993343,0.5859014636789812
4,0.5855666774297708,0.5855666774297708,0.5943776943634852,0.5890724393393645
5,0.5912173070713593,0.5912173070713593,0.600206737200101,0.5950169791104896
6,0.5868582499192767,0.5868582499192767,0.5954812334425501,0.5904955482876342
7,0.5836293186955118,0.5836293186955118,0.5933831879465805,0.5872249717243061
8,0.579244673983215,0.579244673983215,0.591142586375017,0.5829716789312874
9,0.5910264686894771,0.5910264686894771,0.6025385243087241,0.5943894825524246
average,0.5854724642689566,0.5854724642689566,0.5962453022213281,0.589184077849046
std,0.003711724940354903,0.003711724940354903,0.003491211957391014,0.0036079170806408685
