,acc,recall,precision,f1
0,0.5949612403100775,0.5949612403100775,0.4679305618083161,0.5025037300258964
1,0.5739664082687338,0.5739664082687338,0.4596882865814459,0.48455520219225634
2,0.4230582916195705,0.4230582916195705,0.48681941624823877,0.4121550108413265
3,0.5326982076538027,0.5326982076538027,0.5302011509660722,0.5195888921602576
4,0.6038101388440427,0.6038101388440427,0.4750699261186224,0.510473244690964
5,0.5815305134000646,0.5815305134000646,0.4875748434618022,0.519614332527492
6,0.5897642880206652,0.5897642880206652,0.4719868984937307,0.49830655888402425
7,0.6010655473038424,0.6010655473038424,0.4422253431982278,0.49915707039815443
8,0.5769851517107811,0.5769851517107811,0.5330332302086705,0.5502738610944459
9,0.5545513234344739,0.5545513234344739,0.501886629858071,0.517964116279918
average,0.5632391110566054,0.5632391110566054,0.4856416286943198,0.5014592019094736
std,0.05107270952626562,0.05107270952626562,0.027696540831659632,0.03416452005902768
