,acc,recall,precision,f1
0,0.9886950904392765,0.9886950904392765,0.9887307247702333,0.9886968523923187
1,0.9888565891472868,0.9888565891472868,0.9888980941119943,0.9888554284734131
2,0.9859518811561441,0.9859518811561441,0.9860299565497499,0.9859514526313373
3,0.9875666074600356,0.9875666074600356,0.9876422810855642,0.9875634023736191
4,0.9898288666451405,0.9898288666451405,0.9898458581932771,0.9898277690913423
5,0.9909589925734582,0.9909589925734582,0.9910142257642021,0.9909583099191094
6,0.9867613819825638,0.9867613819825638,0.9868577372263723,0.9867551196768388
7,0.9870842751049402,0.9870842751049402,0.9871516303879554,0.9870803149388274
8,0.9888637830858619,0.9888637830858619,0.9889476277051265,0.988865958184917
9,0.9893479664299548,0.9893479664299548,0.9893961931954713,0.9893479870427627
average,0.9883915434024664,0.9883915434024664,0.9884514328989946,0.9883902594724485
std,0.0014526770069727662,0.0014526770069727662,0.0014379237634530768,0.0014538341750505795
