,acc,recall,precision,f1
0,0.6827608554763448,0.6827608554763448,0.6823727515977378,0.680043413969042
1,0.6788723266364226,0.6788723266364226,0.678742074049048,0.6762255841242764
2,0.6873481289486474,0.6873481289486474,0.6876477669104404,0.6848210110278674
3,0.6863761542199903,0.6863761542199903,0.6864223785178764,0.6836479930775555
4,0.6829742426696905,0.6829742426696905,0.6813863543541976,0.6794236664198979
5,0.6821642637291431,0.6821642637291431,0.6818201035298306,0.6792511230972919
6,0.6855661752794427,0.6855661752794427,0.6849062186691681,0.6824517712438762
7,0.6847561963388952,0.6847561963388952,0.6835464075660685,0.6816260867990281
8,0.6812439261418853,0.6812439261418853,0.6800857099741537,0.6781629258732833
9,0.6778947368421052,0.6778947368421052,0.6782917895932383,0.6755969824402529
average,0.6829957006282567,0.6829957006282567,0.6825221554761759,0.6801250558072371
std,0.0029481425055686247,0.0029481425055686247,0.0029688887218690813,0.002880129055282518
