,Sensor_1,Sensor_2,Sensor_3,Sensor_6,Sensor_8,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_19,Sensor_20,Health_state
0,604.13,1499.45,1309.95,394.88,8770.2,45.4,372.15,2388.13,8120.83,8.6216,28.58,17.1735,1
14,604.63,1497.87,1302.51,394.93,8771.08,45.39,371.84,2388.12,8124.37,8.6496,28.84,17.0805,1
15,604.61,1500.47,1311.39,394.44,8775.86,45.52,372.19,2388.08,8127.07,8.6609,28.71,17.1759,1
17,604.23,1502.57,1304.56,394.31,8778.55,45.1,372.03,2388.06,8119.39,8.6646,28.6,17.1096,1
35,604.43,1499.85,1306.89,394.36,8771.15,45.36,371.77,2388.11,8121.73,8.626,28.52,17.1036,2
37,604.8,1502.32,1304.65,395.42,8775.77,45.4,371.75,2388.1,8128.62,8.6563,28.55,17.2449,2
42,605.02,1497.0,1304.66,395.33,8768.04,45.53,372.23,2388.11,8122.83,8.6653,28.42,17.2044,2
45,604.44,1493.77,1312.86,394.79,8775.4,45.57,371.32,2388.13,8127.29,8.6515,28.25,17.137,2
48,604.45,1500.33,1312.4,394.89,8775.97,45.43,371.69,2388.13,8125.47,8.6278,28.56,17.1841,2
56,604.12,1499.74,1311.35,394.76,8774.66,45.21,371.5,2388.12,8125.63,8.6596,28.66,17.1513,2
58,604.84,1499.35,1302.32,394.88,8776.06,45.39,371.17,2388.13,8124.26,8.658,28.57,17.1402,2
64,604.91,1500.41,1313.21,394.77,8773.89,45.48,371.2,2388.13,8124.24,8.6531,28.49,17.0749,2
88,604.38,1500.89,1309.16,394.28,8776.76,45.37,371.35,2388.12,8130.98,8.6302,28.48,17.0763,3
100,605.03,1500.23,1308.21,394.16,8778.95,45.57,371.22,2388.13,8124.87,8.6503,28.61,17.1063,3
101,604.59,1500.82,1308.26,394.38,8773.95,45.48,371.54,2388.17,8122.71,8.6587,28.47,17.2046,3
102,604.43,1497.72,1307.89,394.49,8778.23,45.48,371.69,2388.16,8127.62,8.6405,28.56,17.1515,3
117,605.09,1491.66,1311.73,394.12,8777.26,45.49,371.28,2388.22,8130.07,8.6362,28.53,17.1594,3
121,605.05,1497.7,1311.02,394.48,8773.74,45.43,371.35,2388.25,8129.34,8.691,28.41,17.2078,3
128,605.23,1504.01,1316.44,394.28,8773.2,45.59,371.81,2388.18,8126.82,8.6746,28.5,17.2131,3
133,605.07,1510.58,1315.18,394.32,8782.06,45.45,371.53,2388.19,8129.58,8.6728,28.57,17.0739,3
135,605.03,1500.14,1316.39,394.09,8772.19,45.82,371.16,2388.16,8131.9,8.6865,28.64,17.1091,3
144,605.14,1506.99,1309.48,395.14,8781.65,45.38,371.39,2388.21,8127.59,8.6574,28.56,17.0738,3
165,604.95,1504.56,1316.42,393.6,8781.87,45.71,371.13,2388.22,8131.82,8.6753,28.62,17.0631,3
176,605.23,1503.9,1318.58,393.41,8780.21,45.82,370.68,2388.26,8126.89,8.6666,28.46,17.0572,4
178,605.46,1495.02,1323.28,393.64,8779.2,45.74,370.6,2388.25,8129.92,8.6954,28.48,16.977999999999998,4
188,605.14,1506.45,1320.94,394.01,8794.73,45.77,370.65,2388.23,8132.43,8.683,28.38,16.9889,4
193,605.11,1505.33,1314.06,393.96,8768.16,45.92,371.13,2388.34,8127.52,8.7304,28.44,17.0618,4
196,606.05,1510.09,1321.03,392.86,8785.75,45.83,370.11,2388.28,8130.45,8.7271,28.33,16.9882,4
199,605.53,1507.91,1321.64,393.76,8779.65,45.82,370.68,2388.28,8130.74,8.7389,28.43,17.0037,4
203,605.73,1512.47,1326.88,393.38,8782.34,45.86,370.92,2388.37,8129.81,8.7158,28.41,17.0502,4
208,605.52,1507.01,1329.29,392.89,8780.91,45.99,370.32,2388.35,8126.93,8.7609,28.39,17.0352,4
230,604.07,1491.03,1299.25,395.19,8773.36,45.1,372.42,2388.08,8137.81,8.6069,28.71,17.1825,2
233,604.25,1499.35,1299.93,395.5,8773.23,45.11,372.5,2388.04,8134.67,8.654,28.69,17.0638,2
237,604.13,1498.26,1290.26,394.87,8775.1,44.96,372.54,2387.95,8135.01,8.6142,28.52,17.2534,3
238,603.85,1488.09,1297.87,395.41,8773.14,45.26,372.29,2388.05,8126.16,8.6128,28.94,17.0644,3
241,604.18,1493.11,1299.93,395.37,8775.52,45.16,372.19,2388.01,8137.51,8.616,28.69,17.1594,3
242,603.79,1499.16,1296.86,395.14,8780.91,45.17,372.45,2388.06,8135.1,8.636000000000001,28.65,17.2969,3
244,604.8,1496.0,1299.49,394.92,8775.46,45.05,371.94,2387.97,8131.89,8.6258,28.62,17.1488,3
247,604.4,1501.48,1301.41,395.41,8779.49,45.14,371.81,2388.04,8124.05,8.6366,28.84,17.2276,3
258,604.63,1500.28,1300.77,395.05,8784.59,44.92,372.61,2388.0,8128.6,8.6102,28.6,17.2777,3
262,604.51,1493.83,1303.37,394.19,8782.96,45.16,371.81,2388.06,8133.17,8.6241,28.71,17.2068,3
272,603.93,1497.5,1301.77,395.34,8768.73,45.3,371.87,2388.08,8124.21,8.6033,28.7,17.2325,3
298,604.29,1497.56,1297.81,395.2,8778.11,45.17,371.6,2388.09,8128.53,8.6208,28.47,17.0605,3
310,604.72,1496.47,1302.33,395.19,8774.01,45.28,371.58,2388.08,8125.62,8.6514,28.75,17.1029,3
317,605.03,1496.01,1308.19,394.43,8775.12,45.3,371.95,2388.12,8126.78,8.6349,28.51,17.0787,3
318,604.03,1499.57,1298.64,395.07,8780.14,45.34,371.63,2388.04,8131.32,8.5758,28.69,17.0276,3
326,604.23,1500.27,1310.01,394.09,8773.84,45.1,371.52,2388.05,8131.37,8.6262,28.63,17.1132,3
328,604.12,1503.81,1300.24,394.61,8782.5,45.31,371.64,2388.12,8129.24,8.6259,28.71,17.173,3
