,acc,recall,precision,f1
0,0.6148255813953488,0.6148255813953488,0.5781939415019909,0.5517256108986486
1,0.6159560723514211,0.6159560723514211,0.5862603563475897,0.5477460235179639
2,0.6174713386081059,0.6174713386081059,0.5853403261861413,0.557798820380008
3,0.6177942838688842,0.6177942838688842,0.5878326334134617,0.5529991328803396
4,0.6160800774943493,0.6160800774943493,0.5715560375318413,0.5496425167960478
5,0.6159186309331611,0.6159186309331611,0.5893454511823747,0.5536427188867012
6,0.6178559896674201,0.6178559896674201,0.5793622828320811,0.5461747856975128
7,0.614465611882467,0.614465611882467,0.581749437683348,0.5434744181076601
8,0.6137830858618464,0.6137830858618464,0.5814412367040174,0.5451584484845678
9,0.6176565526145901,0.6176565526145901,0.578061487741255,0.5542444817095896
average,0.6161807224677593,0.6161807224677593,0.5819143191124101,0.5502606957359039
std,0.0014110218718133998,0.0014110218718133998,0.005134365886787038,0.004350446440577506
