,acc,recall,precision,f1
0,0.6430878552971576,0.6430878552971576,0.6248758862995352,0.6067678158048019
1,0.6516472868217055,0.6516472868217055,0.6244425651217601,0.6158018668992263
2,0.6520264815113839,0.6520264815113839,0.620873538440134,0.6143807439436327
3,0.6444372678830939,0.6444372678830939,0.6251703701053708,0.6038003376200477
4,0.644010332579916,0.644010332579916,0.6174453076581452,0.6051308972375342
5,0.6462705844365515,0.6462705844365515,0.6403657009118069,0.6064288271842866
6,0.6464320309977397,0.6464320309977397,0.6117233069168244,0.6021026251889563
7,0.6519212140781402,0.6519212140781402,0.6225895172532209,0.6087296730049913
8,0.6475145255003227,0.6475145255003227,0.627223245513274,0.6083303290855462
9,0.64380245319561,0.64380245319561,0.6182185985938843,0.6098707004130743
average,0.647115003230162,0.647115003230162,0.6232928036813956,0.6081343816382098
std,0.003363081072931147,0.003363081072931147,0.00717235685783354,0.004125267294513875
